nmax : 
15
Wavelength (micrometers) : 
0.5
Re(nmat) : 
1.5
radius
0.25
Re (nincl) : Im (ninc)
1.8
0.1


SphericalTMatrix          
--------------------------
nmax    :    15
dimtn   :   510
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  315    7   -4   -8.305431771e-04    2.522319220e-03
  316    7   -5   -8.305431771e-04    2.522319220e-03
  317    7   -6   -8.305431771e-04    2.522319220e-03
  318    7   -7   -8.305431771e-04    2.522319220e-03
  319    8    8   -7.782198521e-05    2.463369735e-04
  320    8    7   -7.782198521e-05    2.463369735e-04
  321    8    6   -7.782198521e-05    2.463369735e-04
  322    8    5   -7.782198521e-05    2.463369735e-04
  323    8    4   -7.782198521e-05    2.463369735e-04
  324    8    3   -7.782198521e-05    2.463369735e-04
  325    8    2   -7.782198521e-05    2.463369735e-04
  326    8    1   -7.782198521e-05    2.463369735e-04
  327    8    0   -7.782198521e-05    2.463369735e-04
  328    8   -1   -7.782198521e-05    2.463369735e-04
  329    8   -2   -7.782198521e-05    2.463369735e-04
  330    8   -3   -7.782198521e-05    2.463369735e-04
  331    8   -4   -7.782198521e-05    2.463369735e-04
  332    8   -5   -7.782198521e-05    2.463369735e-04
  333    8   -6   -7.782198521e-05    2.463369735e-04
  334    8   -7   -7.782198521e-05    2.463369735e-04
  335    8   -8   -7.782198521e-05    2.463369735e-04
  336    9    9   -5.788119581e-06    1.867312834e-05
  337    9    8   -5.788119581e-06    1.867312834e-05
  338    9    7   -5.788119581e-06    1.867312834e-05
  339    9    6   -5.788119581e-06    1.867312834e-05
  340    9    5   -5.788119581e-06    1.867312834e-05
  341    9    4   -5.788119581e-06    1.867312834e-05
  342    9    3   -5.788119581e-06    1.867312834e-05
  343    9    2   -5.788119581e-06    1.867312834e-05
  344    9    1   -5.788119581e-06    1.867312834e-05
  345    9    0   -5.788119581e-06    1.867312834e-05
  346    9   -1   -5.788119581e-06    1.867312834e-05
  347    9   -2   -5.788119581e-06    1.867312834e-05
  348    9   -3   -5.788119581e-06    1.867312834e-05
  349    9   -4   -5.788119581e-06    1.867312834e-05
  350    9   -5   -5.788119581e-06    1.867312834e-05
  351    9   -6   -5.788119581e-06    1.867312834e-05
  352    9   -7   -5.788119581e-06    1.867312834e-05
  353    9   -8   -5.788119581e-06    1.867312834e-05
  354    9   -9   -5.788119581e-06    1.867312834e-05
  355   10   10   -3.460727868e-07    1.129057916e-06
  356   10    9   -3.460727868e-07    1.129057916e-06
  357   10    8   -3.460727868e-07    1.129057916e-06
  358   10    7   -3.460727868e-07    1.129057916e-06
  359   10    6   -3.460727868e-07    1.129057916e-06
  360   10    5   -3.460727868e-07    1.129057916e-06
  361   10    4   -3.460727868e-07    1.129057916e-06
  362   10    3   -3.460727868e-07    1.129057916e-06
  363   10    2   -3.460727868e-07    1.129057916e-06
  364   10    1   -3.460727868e-07    1.129057916e-06
  365   10    0   -3.460727868e-07    1.129057916e-06
  366   10   -1   -3.460727868e-07    1.129057916e-06
  367   10   -2   -3.460727868e-07    1.129057916e-06
  368   10   -3   -3.460727868e-07    1.129057916e-06
  369   10   -4   -3.460727868e-07    1.129057916e-06
  370   10   -5   -3.460727868e-07    1.129057916e-06
  371   10   -6   -3.460727868e-07    1.129057916e-06
  372   10   -7   -3.460727868e-07    1.129057916e-06
  373   10   -8   -3.460727868e-07    1.129057916e-06
  374   10   -9   -3.460727868e-07    1.129057916e-06
  375   10  -10   -3.460727868e-07    1.129057916e-06
  376   11   11   -1.694814307e-08    5.570768695e-08
  377   11   10   -1.694814307e-08    5.570768695e-08
  378   11    9   -1.694814307e-08    5.570768695e-08
  379   11    8   -1.694814307e-08    5.570768695e-08
  380   11    7   -1.694814307e-08    5.570768695e-08
  381   11    6   -1.694814307e-08    5.570768695e-08
  382   11    5   -1.694814307e-08    5.570768695e-08
  383   11    4   -1.694814307e-08    5.570768695e-08
  384   11    3   -1.694814307e-08    5.570768695e-08
  385   11    2   -1.694814307e-08    5.570768695e-08
  386   11    1   -1.694814307e-08    5.570768695e-08
  387   11    0   -1.694814307e-08    5.570768695e-08
  388   11   -1   -1.694814307e-08    5.570768695e-08
  389   11   -2   -1.694814307e-08    5.570768695e-08
  390   11   -3   -1.694814307e-08    5.570768695e-08
  391   11   -4   -1.694814307e-08    5.570768695e-08
  392   11   -5   -1.694814307e-08    5.570768695e-08
  393   11   -6   -1.694814307e-08    5.570768695e-08
  394   11   -7   -1.694814307e-08    5.570768695e-08
  395   11   -8   -1.694814307e-08    5.570768695e-08
  396   11   -9   -1.694814307e-08    5.570768695e-08
  397   11  -10   -1.694814307e-08    5.570768695e-08
  398   11  -11   -1.694814307e-08    5.570768695e-08
  399   12   12   -6.917750217e-10    2.285936969e-09
  400   12   11   -6.917750217e-10    2.285936969e-09
  401   12   10   -6.917750217e-10    2.285936969e-09
  402   12    9   -6.917750217e-10    2.285936969e-09
  403   12    8   -6.917750217e-10    2.285936969e-09
  404   12    7   -6.917750217e-10    2.285936969e-09
  405   12    6   -6.917750217e-10    2.285936969e-09
  406   12    5   -6.917750217e-10    2.285936969e-09
  407   12    4   -6.917750217e-10    2.285936969e-09
  408   12    3   -6.917750217e-10    2.285936969e-09
  409   12    2   -6.917750217e-10    2.285936969e-09
  410   12    1   -6.917750217e-10    2.285936969e-09
  411   12    0   -6.917750217e-10    2.285936969e-09
  412   12   -1   -6.917750217e-10    2.285936969e-09
  413   12   -2   -6.917750217e-10    2.285936969e-09
  414   12   -3   -6.917750217e-10    2.285936969e-09
  415   12   -4   -6.917750217e-10    2.285936969e-09
  416   12   -5   -6.917750217e-10    2.285936969e-09
  417   12   -6   -6.917750217e-10    2.285936969e-09
  418   12   -7   -6.917750217e-10    2.285936969e-09
  419   12   -8   -6.917750217e-10    2.285936969e-09
  420   12   -9   -6.917750217e-10    2.285936969e-09
  421   12  -10   -6.917750217e-10    2.285936969e-09
  422   12  -11   -6.917750217e-10    2.285936969e-09
  423   12  -12   -6.917750217e-10    2.285936969e-09
  424   13   13   -2.389171958e-11    7.926110167e-11
  425   13   12   -2.389171958e-11    7.926110167e-11
  426   13   11   -2.389171958e-11    7.926110167e-11
  427   13   10   -2.389171958e-11    7.926110167e-11
  428   13    9   -2.389171958e-11    7.926110167e-11
  429   13    8   -2.389171958e-11    7.926110167e-11
  430   13    7   -2.389171958e-11    7.926110167e-11
  431   13    6   -2.389171958e-11    7.926110167e-11
  432   13    5   -2.389171958e-11    7.926110167e-11
  433   13    4   -2.389171958e-11    7.926110167e-11
  434   13    3   -2.389171958e-11    7.926110167e-11
  435   13    2   -2.389171958e-11    7.926110167e-11
  436   13    1   -2.389171958e-11    7.926110167e-11
  437   13    0   -2.389171958e-11    7.926110167e-11
  438   13   -1   -2.389171958e-11    7.926110167e-11
  439   13   -2   -2.389171958e-11    7.926110167e-11
  440   13   -3   -2.389171958e-11    7.926110167e-11
  441   13   -4   -2.389171958e-11    7.926110167e-11
  442   13   -5   -2.389171958e-11    7.926110167e-11
  443   13   -6   -2.389171958e-11    7.926110167e-11
  444   13   -7   -2.389171958e-11    7.926110167e-11
  445   13   -8   -2.389171958e-11    7.926110167e-11
  446   13   -9   -2.389171958e-11    7.926110167e-11
  447   13  -10   -2.389171958e-11    7.926110167e-11
  448   13  -11   -2.389171958e-11    7.926110167e-11
  449   13  -12   -2.389171958e-11    7.926110167e-11
  450   13  -13   -2.389171958e-11    7.926110167e-11
  451   14   14   -7.072798936e-13    2.353531433e-12
  452   14   13   -7.072798936e-13    2.353531433e-12
  453   14   12   -7.072798936e-13    2.353531433e-12
  454   14   11   -7.072798936e-13    2.353531433e-12
  455   14   10   -7.072798936e-13    2.353531433e-12
  456   14    9   -7.072798936e-13    2.353531433e-12
  457   14    8   -7.072798936e-13    2.353531433e-12
  458   14    7   -7.072798936e-13    2.353531433e-12
  459   14    6   -7.072798936e-13    2.353531433e-12
  460   14    5   -7.072798936e-13    2.353531433e-12
  461   14    4   -7.072798936e-13    2.353531433e-12
  462   14    3   -7.072798936e-13    2.353531433e-12
  463   14    2   -7.072798936e-13    2.353531433e-12
  464   14    1   -7.072798936e-13    2.353531433e-12
  465   14    0   -7.072798936e-13    2.353531433e-12
  466   14   -1   -7.072798936e-13    2.353531433e-12
  467   14   -2   -7.072798936e-13    2.353531433e-12
  468   14   -3   -7.072798936e-13    2.353531433e-12
  469   14   -4   -7.072798936e-13    2.353531433e-12
  470   14   -5   -7.072798936e-13    2.353531433e-12
  471   14   -6   -7.072798936e-13    2.353531433e-12
  472   14   -7   -7.072798936e-13    2.353531433e-12
  473   14   -8   -7.072798936e-13    2.353531433e-12
  474   14   -9   -7.072798936e-13    2.353531433e-12
  475   14  -10   -7.072798936e-13    2.353531433e-12
  476   14  -11   -7.072798936e-13    2.353531433e-12
  477   14  -12   -7.072798936e-13    2.353531433e-12
  478   14  -13   -7.072798936e-13    2.353531433e-12
  479   14  -14   -7.072798936e-13    2.353531433e-12
  480   15   15   -1.659747921e-14    5.611520963e-14
  481   15   14   -1.659747921e-14    5.611520963e-14
  482   15   13   -1.659747921e-14    5.611520963e-14
  483   15   12   -1.659747921e-14    5.611520963e-14
  484   15   11   -1.659747921e-14    5.611520963e-14
  485   15   10   -1.659747921e-14    5.611520963e-14
  486   15    9   -1.659747921e-14    5.611520963e-14
  487   15    8   -1.659747921e-14    5.611520963e-14
  488   15    7   -1.659747921e-14    5.611520963e-14
  489   15    6   -1.659747921e-14    5.611520963e-14
  490   15    5   -1.659747921e-14    5.611520963e-14
  491   15    4   -1.659747921e-14    5.611520963e-14
  492   15    3   -1.659747921e-14    5.611520963e-14
  493   15    2   -1.659747921e-14    5.611520963e-14
  494   15    1   -1.659747921e-14    5.611520963e-14
  495   15    0   -1.659747921e-14    5.611520963e-14
  496   15   -1   -1.659747921e-14    5.611520963e-14
  497   15   -2   -1.659747921e-14    5.611520963e-14
  498   15   -3   -1.659747921e-14    5.611520963e-14
  499   15   -4   -1.659747921e-14    5.611520963e-14
  500   15   -5   -1.659747921e-14    5.611520963e-14
  501   15   -6   -1.659747921e-14    5.611520963e-14
  502   15   -7   -1.659747921e-14    5.611520963e-14
