nmax : 
25
Wavelength (micrometers) : 
0.555
Re(nmat) : 
1.6
radius
0.632
Re (nincl) : Im (ninc)
2.75
1.72

SphericalTMatrix          
--------------------------
nmax    :    25
dimtn   :  1350
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  397   19  -17   -6.990526880e-07   -3.803483765e-07
  398   19  -18   -6.990526880e-07   -3.803483765e-07
  399   19  -19   -6.990526880e-07   -3.803483765e-07
  400   20   20   -6.535207264e-08   -3.048791790e-08
  401   20   19   -6.535207264e-08   -3.048791790e-08
  402   20   18   -6.535207264e-08   -3.048791790e-08
  403   20   17   -6.535207264e-08   -3.048791790e-08
  404   20   16   -6.535207264e-08   -3.048791790e-08
  405   20   15   -6.535207264e-08   -3.048791790e-08
  406   20   14   -6.535207264e-08   -3.048791790e-08
  407   20   13   -6.535207264e-08   -3.048791790e-08
  408   20   12   -6.535207264e-08   -3.048791790e-08
  409   20   11   -6.535207264e-08   -3.048791790e-08
  410   20   10   -6.535207264e-08   -3.048791790e-08
  411   20    9   -6.535207264e-08   -3.048791790e-08
  412   20    8   -6.535207264e-08   -3.048791790e-08
  413   20    7   -6.535207264e-08   -3.048791790e-08
  414   20    6   -6.535207264e-08   -3.048791790e-08
  415   20    5   -6.535207264e-08   -3.048791790e-08
  416   20    4   -6.535207264e-08   -3.048791790e-08
  417   20    3   -6.535207264e-08   -3.048791790e-08
  418   20    2   -6.535207264e-08   -3.048791790e-08
  419   20    1   -6.535207264e-08   -3.048791790e-08
  420   20    0   -6.535207264e-08   -3.048791790e-08
  421   20   -1   -6.535207264e-08   -3.048791790e-08
  422   20   -2   -6.535207264e-08   -3.048791790e-08
  423   20   -3   -6.535207264e-08   -3.048791790e-08
  424   20   -4   -6.535207264e-08   -3.048791790e-08
  425   20   -5   -6.535207264e-08   -3.048791790e-08
  426   20   -6   -6.535207264e-08   -3.048791790e-08
  427   20   -7   -6.535207264e-08   -3.048791790e-08
  428   20   -8   -6.535207264e-08   -3.048791790e-08
  429   20   -9   -6.535207264e-08   -3.048791790e-08
  430   20  -10   -6.535207264e-08   -3.048791790e-08
  431   20  -11   -6.535207264e-08   -3.048791790e-08
  432   20  -12   -6.535207264e-08   -3.048791790e-08
  433   20  -13   -6.535207264e-08   -3.048791790e-08
  434   20  -14   -6.535207264e-08   -3.048791790e-08
  435   20  -15   -6.535207264e-08   -3.048791790e-08
  436   20  -16   -6.535207264e-08   -3.048791790e-08
  437   20  -17   -6.535207264e-08   -3.048791790e-08
  438   20  -18   -6.535207264e-08   -3.048791790e-08
  439   20  -19   -6.535207264e-08   -3.048791790e-08
  440   20  -20   -6.535207264e-08   -3.048791790e-08
  441   21   21   -5.395644724e-09   -2.159535492e-09
  442   21   20   -5.395644724e-09   -2.159535492e-09
  443   21   19   -5.395644724e-09   -2.159535492e-09
  444   21   18   -5.395644724e-09   -2.159535492e-09
  445   21   17   -5.395644724e-09   -2.159535492e-09
  446   21   16   -5.395644724e-09   -2.159535492e-09
  447   21   15   -5.395644724e-09   -2.159535492e-09
  448   21   14   -5.395644724e-09   -2.159535492e-09
  449   21   13   -5.395644724e-09   -2.159535492e-09
  450   21   12   -5.395644724e-09   -2.159535492e-09
  451   21   11   -5.395644724e-09   -2.159535492e-09
  452   21   10   -5.395644724e-09   -2.159535492e-09
  453   21    9   -5.395644724e-09   -2.159535492e-09
  454   21    8   -5.395644724e-09   -2.159535492e-09
  455   21    7   -5.395644724e-09   -2.159535492e-09
  456   21    6   -5.395644724e-09   -2.159535492e-09
  457   21    5   -5.395644724e-09   -2.159535492e-09
  458   21    4   -5.395644724e-09   -2.159535492e-09
  459   21    3   -5.395644724e-09   -2.159535492e-09
  460   21    2   -5.395644724e-09   -2.159535492e-09
  461   21    1   -5.395644724e-09   -2.159535492e-09
  462   21    0   -5.395644724e-09   -2.159535492e-09
  463   21   -1   -5.395644724e-09   -2.159535492e-09
  464   21   -2   -5.395644724e-09   -2.159535492e-09
  465   21   -3   -5.395644724e-09   -2.159535492e-09
  466   21   -4   -5.395644724e-09   -2.159535492e-09
  467   21   -5   -5.395644724e-09   -2.159535492e-09
  468   21   -6   -5.395644724e-09   -2.159535492e-09
  469   21   -7   -5.395644724e-09   -2.159535492e-09
  470   21   -8   -5.395644724e-09   -2.159535492e-09
  471   21   -9   -5.395644724e-09   -2.159535492e-09
  472   21  -10   -5.395644724e-09   -2.159535492e-09
  473   21  -11   -5.395644724e-09   -2.159535492e-09
  474   21  -12   -5.395644724e-09   -2.159535492e-09
  475   21  -13   -5.395644724e-09   -2.159535492e-09
  476   21  -14   -5.395644724e-09   -2.159535492e-09
  477   21  -15   -5.395644724e-09   -2.159535492e-09
  478   21  -16   -5.395644724e-09   -2.159535492e-09
  479   21  -17   -5.395644724e-09   -2.159535492e-09
  480   21  -18   -5.395644724e-09   -2.159535492e-09
  481   21  -19   -5.395644724e-09   -2.159535492e-09
  482   21  -20   -5.395644724e-09   -2.159535492e-09
  483   21  -21   -5.395644724e-09   -2.159535492e-09
  484   22   22   -3.972731839e-10   -1.362770931e-10
  485   22   21   -3.972731839e-10   -1.362770931e-10
